OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-3973,2022-052AZ,2026-09-19T05:43:57.289728,15.31704741,.0001166,53.1594,96.6756,90.8105,269.3030,0,U,52645,999,24053,.3248E-4,.643E-5,0
STARLINK-3832,2022-052BA,2026-09-20T21:44:18.861504,15.33543884,.00013017,53.1596,89.8860,93.2974,266.8177,0,U,52646,999,24078,.7969924E-5,-.111E-5,0
STARLINK-3854,2022-052BC,2026-09-20T06:21:39.810240,15.33551703,.00012983,53.1591,93.0340,85.2009,274.9141,0,U,52648,999,24067,.40719251E-4,.967E-5,0
STARLINK-3868,2022-052BD,2026-09-20T22:20:12.737472,15.31718945,.00011717,53.1591,88.8057,88.2002,271.9134,0,U,52649,999,24080,.61830839E-4,.1555E-4,0
STARLINK-3891,2022-052BE,2026-09-20T22:04:59.223360,15.34409010,.00008549,53.1617,81.4307,81.0044,279.1055,0,U,52650,999,24090,-.17746837E-3,-.6369E-4,0
STARLINK-4004,2022-053A,2026-09-20T12:59:15.275328,15.35396514,.00012301,53.1610,347.2211,76.1946,283.9194,0,U,52656,999,24069,.27046153E-4,.563E-5,0
STARLINK-4084,2022-053B,2026-09-20T20:29:13.734816,15.31705620,.00013825,53.1621,344.1391,76.0322,284.0833,0,U,52657,999,24106,.53249047E-4,.1288E-4,0
STARLINK-4082,2022-053C,2026-09-20T21:42:20.417472,15.08829180,.00011713,53.1621,357.1043,87.2698,272.8428,0,U,52658,999,24070,.12675095E-4,-.86E-6,0
STARLINK-3960,2022-053D,2026-09-20T12:11:00.405312,15.33549970,.0001149,53.1617,347.6715,79.2711,280.8421,0,U,52659,999,24079,.1774791E-4,.211E-5,0
STARLINK-4081,2022-053E,2026-09-20T12:25:58.776960,15.31703286,.00011854,53.1603,345.7206,84.0649,276.0487,0,U,52660,999,24071,.45913059E-4,.106E-4,0
STARLINK-4044,2022-053G,2026-09-20T21:53:58.300512,15.35395696,.00011886,53.1625,353.8450,90.9016,269.2124,0,U,52662,999,24056,.33277796E-4,.78E-5,0
STARLINK-4037,2022-053H,2026-09-20T21:54:22.432032,15.35395606,.000144,53.1607,353.8912,85.2409,274.8759,0,U,52663,999,24056,.17406186E-4,.226E-5,0
STARLINK-4070,2022-053J,2026-09-20T21:21:08.263872,15.08830063,.00010728,53.1618,357.1689,89.9085,270.2029,0,U,52664,999,24051,.6708293E-5,-.181E-5,0
STARLINK-4064,2022-053K,2026-09-20T22:30:01.188864,15.08834816,.00009163,53.1617,356.9523,99.5692,260.5403,0,U,52665,999,24052,.56593589E-4,.613E-5,0
STARLINK-4079,2022-053L,2026-09-20T13:50:37.232448,15.08838142,.00013005,53.1627,358.1909,75.8352,284.2784,0,U,52666,999,24047,.5096653E-4,.523E-5,0
STARLINK-4076,2022-053M,2026-09-20T22:24:43.500384,15.08837119,.00013347,53.1632,356.9727,66.2437,293.8694,0,U,52667,999,24052,-.2869953E-5,-.334E-5,0
STARLINK-4067,2022-053N,2026-09-20T21:16:10.651296,15.31700015,.00011794,53.1613,343.9930,97.6532,262.4603,0,U,52668,999,24070,.31651E-4,.617E-5,0
STARLINK-3972,2022-053P,2026-09-20T12:14:00.110400,15.34383750,.000058,53.1607,347.4953,61.6063,298.4998,0,U,52669,999,24061,.14491406E-4,.114E-5,0
STARLINK-4075,2022-053Q,2026-09-20T17:54:28.664640,15.08824952,.00014016,53.1595,357.8819,75.9301,284.1846,0,U,52670,999,24049,-.62677175E-4,-.1285E-4,0
STARLINK-4071,2022-053R,2026-09-20T20:28:07.687200,15.08854690,.00014363,53.1644,357.3373,47.6725,312.4388,0,U,52671,999,24050,.29946865E-3,.4483E-4,0
STARLINK-4073,2022-053S,2026-09-20T22:19:25.473216,15.08837709,.00012822,53.1596,356.9910,67.6969,292.4158,0,U,52672,999,24051,-.8141676E-5,-.418E-5,0
STARLINK-3976,2022-053T,2026-09-20T11:45:58.354272,15.35393868,.00012621,53.1624,348.1989,79.2963,280.8182,0,U,52673,999,24060,-.9218101E-5,-.702E-5,0
STARLINK-3936,2022-053U,2026-09-21T00:00:02.000160,15.30462526,.00013691,53.1591,322.9622,92.9399,160.6637,0,U,52674,999,581,.26030637E-2,.78185E-3,0
STARLINK-3934,2022-053V,2026-09-20T21:54:20.948544,15.31706197,.00009454,53.1599,338.0037,68.6500,291.4603,0,U,52675,999,24077,.33392636E-4,.672E-5,0
STARLINK-4006,2022-053W,2026-09-20T22:52:47.426016,15.35378107,.0000627,53.1599,346.0671,88.7158,271.3917,0,U,52676,999,24067,.21972436E-4,.386E-5,0
STARLINK-4074,2022-053Y,2026-09-20T20:34:51.933792,15.31698899,.00016226,53.1627,341.1607,57.7425,302.3734,0,U,52678,999,24072,.11702951E-4,-.2E-7,0
STARLINK-4031,2022-053Z,2026-09-21T00:00:02.000160,15.29450428,.00007255,53.1595,344.8849,108.4329,326.6575,0,U,52679,999,581,.16812098E-2,.48616E-3,0
STARLINK-3774,2022-053AA,2026-09-21T00:00:02.000160,15.27327855,.00017953,53.1590,344.8559,69.7170,302.1313,0,U,52680,999,581,.17889325E-2,.48486E-3,0
STARLINK-4068,2022-053AB,2026-09-20T12:11:29.731200,15.31702019,.00012514,53.1619,342.7819,75.8010,284.3130,0,U,52681,999,24063,.61431719E-4,.1542E-4,0
STARLINK-4017,2022-053AC,2026-09-21T00:00:02.000160,15.24968232,.00022633,53.1612,345.3751,108.4303,36.6505,0,U,52682,999,581,.19333544E-2,.48813E-3,0
STARLINK-4014,2022-053AE,2026-09-21T00:00:02.000160,15.26932587,.00008155,53.1610,345.2384,110.2476,124.5153,0,U,52684,999,581,.18133954E-2,.48565E-3,0
STARLINK-4029,2022-053AF,2026-09-20T12:03:48.206592,15.26184049,.00018887,53.1574,347.1096,120.6214,239.4971,0,U,52685,999,24055,.98471127E-3,.25541E-3,0
STARLINK-4005,2022-053AG,2026-09-21T00:00:02.000160,15.29037626,.0001647,53.1605,344.8404,73.6782,65.3333,0,U,52686,999,581,.17085679E-2,.48789E-3,0
STARLINK-3981,2022-053AH,2026-09-21T00:00:02.000160,15.31136085,.00012887,53.1609,344.8333,87.4040,136.3336,0,U,52687,999,575,.16698234E-2,.50899E-3,0
STARLINK-4032,2022-053AJ,2026-09-21T00:00:02.000160,15.26566018,.00021533,53.1612,344.9808,108.4780,359.6809,0,U,52688,999,571,.18418978E-2,.4879E-3,0
STARLINK-4035,2022-053AL,2026-09-20T20:48:13.075200,15.26513262,.00012712,53.1607,342.2869,82.6743,277.4400,0,U,52690,999,24065,.3954041E-5,-.241E-5,0
STARLINK-3993,2022-053AN,2026-09-21T00:00:02.000160,15.31179108,.00014239,53.1611,345.0155,77.8181,73.0672,0,U,52692,999,571,.16640583E-2,.5079E-3,0
STARLINK-3946,2022-053AP,2026-09-21T00:00:02.000160,15.26089315,.0000776,53.1590,344.8611,125.1267,205.2138,0,U,52693,999,581,.17107216E-2,.44613E-3,0
STARLINK-4072,2022-053AQ,2026-09-20T21:58:26.671872,15.35418369,.0001534,53.1573,332.9070,77.4490,282.6685,0,U,52694,999,24082,-.11772829E-3,-.4487E-4,0
STARLINK-4041,2022-053AR,2026-09-20T21:35:01.038912,15.08831953,.00010821,53.1620,351.9235,82.4924,277.6190,0,U,52695,999,24056,.25518684E-4,.118E-5,0
STARLINK-4018,2022-053AT,2026-09-20T11:44:51.908352,15.35396731,.00010646,53.1618,347.9512,77.2168,282.8954,0,U,52697,999,24058,.44489443E-4,.1172E-4,0
